stamp;cout;dig
CM+;1;dig11
+O+;1;dig4
VIRII;2;dig8
+CVFS;1;dig11
FBSAT+;1;dig5
VIRG;1;dig11
F.GMED;2;dig4
MMACSVR;2;dig1
LFCRDVII.;1;dig11
LFCF+;1;dig5
FICB+;1;dig4
PNN.;1;dig4
PNN.;4;dig5
PNN.;1;dig11
PNN;1;dig5
IIIMINICIOR;2;dig11
IIIVNIMELISSIETMELISSE;11;dig5
IIIVNIMELISSIETMELISSE;4;dig11
LFCABAB;4;dig2
+ABXIII+;1;dig11
F.AT.;1;dig11
SER;2;dig12
CA+;1;dig8
NCLEVT;1;dig11
FIGEDPPAEF;1;dig7
FIGEDPPAEF;1;dig3
MD+;1;dig9
+SPM+;1;dig12
+ASY;1;dig4
+VLI;1;dig10
+ED+F;1;dig2
+LI.;1;dig11
+ASS+;1;dig8
LPAEOA;1;dig5
LPAEOA;3;dig7
LPAEOA;1;dig3
LFCC+N;1;dig4
+CEPA+EOPAR;1;dig6
IIMINACRETCAL;2;dig4
FICBAR;1;dig4
DC;1;dig10
PMFA;2;dig5
+ER;1;dig12
+ER;1;dig11
+M;1;dig12
.FCRDEP;1;dig11
QF+;1;dig9
QERV;1;dig3
BVR.;1;dig4
BVR.;1;dig11
FTAV+;1;dig8
IIIENNIIVL;4;dig6
+C;1;dig7
+EF+;1;dig10
PIV+;1;dig10
D+;1;dig10
PQPRIX;1;dig2
.NN;1;dig11
+FII+MA+;1;dig11
PM;1;dig11
+N;1;dig11
MCLS;1;dig7
MCLS;1;dig3
+M+SI;1;dig11
+PTV.;1;dig12
MIRT;1;dig12
ARA+;1;dig11
+NN+BARBA;1;dig11
+XFERCAELVR;1;dig11
SAXFER;1;dig8
+G;1;dig11
.ATDEFICLI.ASMARSIA;1;dig4
+AXOF;1;dig9
.PAT;3;dig4
.OMS;1;dig12
IVLDAVGN;1;dig11
+O;1;dig8
IIIVNIMEL+ETMELIS+;1;dig5
IIAVRHERACLAEPATETFILFC+;1;dig11
+PE+;1;dig5
MC;1;dig7
BELL;1;dig11
+EC;1;dig11
CMISC;1;dig8
FMFP;1;dig5
.VCVNDINI;1;dig4
VIRIIII;3;dig6
+RG;1;dig3
+IFM+;1;dig5
IIIMINICIOR;1;dig4
LFCCV+M;1;dig11
CFEVT+;1;dig7
+M;1;dig5
PCICL;1;dig9
LIVNIMELISSI;4;dig4
LIVNIMELISSI;2;dig5
LIVNIMELISSI;3;dig11
+ADIN+;1;dig4
AQ+;1;dig8
FSC;1;dig5
FSC;1;dig7
FSC;2;dig3
FPATERNI;1;dig11
PER;1;dig4
PCSSCVMARIA;1;dig11
+DFITALICAE;1;dig8
BE+;1;dig12
SNR.;1;dig1
ARVASALS;1;dig7
GRA+;1;dig10
L+;1;dig2
GRA;2;dig4
PNNFIGMED;2;dig4
LIT;1;dig11
+CABAB+;1;dig6
CAECOR;1;dig9
+ONS+;1;dig4
CLM+;1;dig12
IIIENNIVL;2;dig8
NRVFI.;1;dig10
FCECARA;1;dig11
IIQQETCF;1;dig5
+MVDC+;1;dig10
LFC;3;dig6
PERSEI;1;dig11
+FIG+;1;dig4
FCVCV;1;dig11
+T;1;dig4
DIA;1;dig8
DIA;1;dig12
DIA;1;dig11
+BAR+;1;dig11
QNDFAB;1;dig12
.SCIM.IANO;1;dig5
PCLICE+;1;dig8
ILFT;9;dig4
+AFM.;1;dig11
.MO.V+O;1;dig3
+CPAP;1;dig4
C+SI+;1;dig6
Q+;1;dig2
QVCCF;1;dig5
PCLODIICELI;1;dig10
PP+;1;dig5
+NNIV;1;dig9
OCV+;1;dig5
+VIRIII;1;dig9
PNN;1;dig11
MQ+;1;dig12
+OPPAE+;1;dig5
LQ+;1;dig10
+CCVCAT;1;dig5
NRVFIP;1;dig10
PNN;2;dig4
PNN;1;dig5
+MELISSI+ELISSE;1;dig5
+C+FLC+;1;dig6
PNN;1;dig11
+TALI.;1;dig4
+AVRHERACLA.PATETF+;1;dig11
+TR;1;dig11
PCAG+NIG+;1;dig8
SACXII.;1;dig11
EL+;1;dig9
+POP+;1;dig5
LVPXII+;1;dig11
LA.;1;dig12
SVBVLCI;1;dig5
MMCS+;1;dig8
+NTITOC.;1;dig11
PCLICELI;1;dig11
TM;1;dig11
GRAS+;1;dig5
+AO+;1;dig9
ISMILOF;4;dig7
ISMILOF;2;dig3
FINE;1;dig11
MACCVT;1;dig11
PNEN.;1;dig11
+IM;1;dig10
QMCALIADIS;1;dig11
QIV+;1;dig9
+V;1;dig5
+GGGNNN+GVLBARB.;1;dig11
.VGGG+FIGVLBARBA;1;dig11
.CMY;1;dig5
+S;1;dig11
MFQF;1;dig12
+MARSIANESSES;1;dig11
LCANTP;1;dig8
LCANTP;1;dig12
LCANTP;2;dig1
LCANTP;1;dig11
+TAI;1;dig10
LFCC+;1;dig5
DATSCOL;3;dig12
MAT+;1;dig4
+ORT+;1;dig11
VHL.;1;dig4
PAT;1;dig11
QIMII+;1;dig9
NN;1;dig10
QCI;1;dig8
CONSFC;1;dig4
MS+;1;dig11
+VFI;1;dig3
FPAT;4;dig4
+QC+;1;dig11
AEL+N.;1;dig11
QIAF;1;dig9
.LFT;1;dig4
+ALIC+;1;dig2
+MAT+L;1;dig6
AND+;1;dig7
.IS.;1;dig11
LFDCOL;1;dig3
FPATERNI;1;dig11
FBA;1;dig11
+LAT+;1;dig11
DEFBA;1;dig5
CONS+;1;dig4
CONS+;1;dig11
DIONYS;1;dig5
BEL+;1;dig12
.IIENNII+;1;dig8
MLP+;1;dig12
+FVPAI+;1;dig11
LIDF+;1;dig10
NHY.;1;dig11
.ORODV;1;dig5
.ORODV;1;dig11
FIRM.;1;dig5
.AXOFERREO+;1;dig8
GENETIV;4;dig5
GENETIV;1;dig11
+TIS;2;dig5
PPCA.;2;dig5
ANTI+;1;dig11
+OCV+EDO;1;dig5
ARAX+;1;dig11
MAXC;1;dig11
SIR;1;dig12
AVGG;1;dig11
PRIM;1;dig11
EVTYC;1;dig4
EVTYC;2;dig5
.AP;2;dig4
CHSES.;1;dig8
+FSF;1;dig5
LFCCVF+;1;dig4
LFCCVF+;2;dig5
LFCCVF+;2;dig11
POPVLI;9;dig4
POPVLI;1;dig5
TAM;1;dig8
TAM;1;dig12
TAM;4;dig1
C+ALB;1;dig6
+XOFERRI;1;dig6
LI+;1;dig2
CIV+;1;dig10
PN.;1;dig11
+PO;1;dig9
BELICI;1;dig12
LFCC+;1;dig5
EROTIC.;1;dig3
PMG+;1;dig10
VIBIO;2;dig12
+VNMELISS+MELISE;1;dig11
MCFR.;1;dig8
MA+;1;dig11
AVN.;1;dig11
IIIFFIILVP;2;dig4
GSACI;1;dig12
+E;1;dig4
+RVSTI.;1;dig5
ACIRGI;1;dig5
SVCCESS;2;dig11
AVCGICV;1;dig11
DONATI;1;dig5
