stamp;dig
.NN;dig4
.NN;dig4
.NN;dig4
.NN;dig4
.NN;dig5
.NN;dig5
.NN;dig5
.NN;dig11
.NN;dig11
.NN;dig11
+IM+;dig11
AVGGGNNNFIG+LC+;dig11
ARN.;dig10
FP.;dig8
LFC+V+;dig11
CAFFM;dig1
QC.;dig8
QC.;dig8
QC.;dig8
QC.;dig8
IIIVNIMELISSI+LISSE;dig5
PMOCVFIGEDO;dig4
QMS;dig7
QMS;dig7
QMS;dig12
QMS;dig3
QMS;dig3
QMR;dig12
QMR;dig12
QMR;dig12
QMR;dig2
.IGED+;dig5
QMC;dig5
SAXOF+;dig10
M+;dig8
IIIVNIMELISSI+M+;dig5
.FCCVF+;dig11
+MFA+;dig4
ALFO.;dig10
.VGGGNNN+GVLBARB.;dig11
CMTC.;dig1
P.NA;dig6
CFSA.;dig12
QNDP+;dig12
+RODV;dig11
.MN;dig6
VIAI;dig10
L+;dig11
AMICI;dig7
CN.;dig11
QCV;dig11
LFCCO;dig11
ASVLFVSC;dig8
LFCCV;dig11
QCI;dig6
QCI;dig8
QCI;dig8
QCI;dig8
.ENTI.;dig11
QCM;dig8
.ORTO;dig4
.ORTO;dig4
KVF+COLLEOPA.;dig11
SCL;dig8
+FT;dig4
+FT;dig4
FINETOY;dig12
CR+;dig9
+M+;dig5
+M+;dig6
+M+;dig11
+COL+;dig11
LMRLMP;dig1
LIVNIMELISSIP;dig5
LFCCV+;dig11
LFCCV+;dig11
FVNBELRPI;dig1
FIRMI;dig4
FIRMI;dig3
SCA;dig1
CI.LB;dig6
+CRDEP;dig11
IIMINACRETCAL;dig4
IIMINACRETCAL;dig4
IIMINACRETCAL;dig4
IIMINACRETCAL;dig5
ISVIRG;dig5
ISVIRG;dig7
ISVIRG;dig7
ISVIRG;dig7
ISVIRG;dig3
ISVIRG;dig3
ISVIRG;dig3
CALLISTVSF;dig7
CALLISTVSF;dig7
CALLISTVSF;dig7
CALLISTVSF;dig7
CALLISTVSF;dig7
+LV+;dig4
.AXOFER;dig10
+F+;dig11
LIDIFITAL;dig10
MATDEFICNASMARSI;dig4
MATDEFICNASMARSI;dig4
MATDEFICNASMARSI;dig4
MATDEFICNASMARSI;dig4
MATDEFICNASMARSI;dig4
MATDEFICNASMARSI;dig4
MATDEFICNASMARSI;dig4
MATDEFICNASMARSI;dig4
M+M;dig1
B+;dig11
MQF.;dig8
LFCCVFCAT;dig4
+API;dig11
CMA;dig6
CMA;dig6
CMA;dig6
CMA;dig6
CMA;dig6
.OPVLI;dig4
.MFP;dig5
FIGVLGEME+VINIL;dig4
+C+;dig2
.CICELI;dig6
LIT.;dig11
+T;dig4
+T;dig4
IIIENNIIVL;dig2
IIIENNIIVL;dig2
II.AVRHERACLA.PATETFILFCEPA+;dig11
CA+;dig4
LC+M.;dig11
TFAM.;dig4
AVG+;dig11
SIIP;dig11
CANRVF;dig2
LFCCV+;dig10
MS;dig11
MS;dig11
MS;dig11
MS;dig11
MS;dig11
+CVFC+;dig4
DOM;dig12
DOM;dig1
DOM;dig11
+CERAR+;dig11
+V;dig9
LACV+;dig11
MCFRIGD;dig8
MCFRIGD;dig9
MCFRIGD;dig9
LIS;dig11
PSAI.;dig2
+COR;dig9
IISE.;dig8
MCFRIGI;dig9
+IS;dig11
+BELI;dig12
F;dig11
+FIP;dig10
+NI+;dig4
SALS;dig5
+CV+;dig5
.CM.;dig5
QIMF;dig6
QIMF;dig6
QIMF;dig12
QIMF;dig2
QIMF;dig2
VITALIS;dig4
FPATERNI;dig7
FPATERNI;dig3
QIMS;dig12
QIMS;dig12
.FRIG.;dig9
LASFIC;dig2
LASFIC;dig2
LF+;dig5
+D;dig11
ALBM+ARCIAN;dig11
DIONI;dig4
DIONI;dig4
DIONI;dig4
DIONI;dig4
DIONI;dig4
.FCCV;dig11
QQFM.;dig8
FIBAR;dig4
+HP;dig5
+DO;dig4
QN+L;dig5
CA.;dig4
CA.;dig4
AR+;dig11
CIMASECA;dig10
FLFBARI;dig7
AVG;dig4
AVG;dig5
CERC;dig4
CERC;dig5
RIVESQIAFS;dig6
VICTORICI;dig5
CERARIA;dig7
+GG+VL+;dig11
+MINACRETCA.;dig4
+FLAI+CANO+;dig10
LIT;dig4
LIT;dig4
LIT;dig5
LIT;dig7
LIT;dig7
LIT;dig7
LIT;dig7
LIT;dig7
LIT;dig3
LIT;dig3
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
LIT;dig11
QI+;dig2
+ACHR;dig1
LIS;dig11
LIS;dig11
LIS;dig11
LIS;dig11
LIS;dig11
LIS;dig11
LIS;dig11
LIS;dig11
+RVFIP;dig9
NICXIII;dig11
HERACLETFILFMAR;dig11
LFFCXI.;dig5
FIGVLGEMESILVINIL;dig4
TAN;dig10
+CAVF+;dig5
MOXM.;dig11
LFCCV+;dig11
+MELISSI+MELISSE;dig5
PMO+FIGE+;dig4
IIIENNIIVL;dig2
LALRD.;dig12
FCV+;dig4
III;dig10
Q+;dig2
IVL.I;dig4
.TR;dig5
QI+;dig12
A+;dig3
PNNF;dig4
PNNF;dig4
PNNF;dig4
PNNF;dig4
PNNF;dig4
PNNF;dig4
PNNF;dig4
PNNF;dig5
PNNF;dig5
PNNF;dig5
PNNF;dig5
PNNF;dig11
PNNF;dig11
VIRG.;dig11
PNNS+;dig11
CM+;dig11
+O+;dig4
VIRII;dig8
VIRII;dig8
+CVFS;dig11
FBSAT+;dig5
VIRG;dig11
F.GMED;dig4
F.GMED;dig4
MMACSVR;dig1
MMACSVR;dig1
LFCRDVII.;dig11
LFCF+;dig5
FICB+;dig4
PNN.;dig4
PNN.;dig5
PNN.;dig5
PNN.;dig5
PNN.;dig5
PNN.;dig11
PNN;dig5
IIIMINICIOR;dig11
IIIMINICIOR;dig11
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig5
IIIVNIMELISSIETMELISSE;dig11
IIIVNIMELISSIETMELISSE;dig11
IIIVNIMELISSIETMELISSE;dig11
IIIVNIMELISSIETMELISSE;dig11
LFCABAB;dig2
LFCABAB;dig2
LFCABAB;dig2
LFCABAB;dig2
+ABXIII+;dig11
F.AT.;dig11
SER;dig12
SER;dig12
CA+;dig8
NCLEVT;dig11
FIGEDPPAEF;dig7
FIGEDPPAEF;dig3
MD+;dig9
+SPM+;dig12
+ASY;dig4
+VLI;dig10
+ED+F;dig2
+LI.;dig11
+ASS+;dig8
LPAEOA;dig5
LPAEOA;dig7
LPAEOA;dig7
LPAEOA;dig7
LPAEOA;dig3
LFCC+N;dig4
+CEPA+EOPAR;dig6
IIMINACRETCAL;dig4
IIMINACRETCAL;dig4
FICBAR;dig4
DC;dig10
PMFA;dig5
PMFA;dig5
+ER;dig12
+ER;dig11
+M;dig12
.FCRDEP;dig11
QF+;dig9
QERV;dig3
BVR.;dig4
BVR.;dig11
FTAV+;dig8
IIIENNIIVL;dig6
IIIENNIIVL;dig6
IIIENNIIVL;dig6
IIIENNIIVL;dig6
+C;dig7
+EF+;dig10
PIV+;dig10
D+;dig10
PQPRIX;dig2
.NN;dig11
+FII+MA+;dig11
PM;dig11
+N;dig11
MCLS;dig7
MCLS;dig3
+M+SI;dig11
+PTV.;dig12
MIRT;dig12
ARA+;dig11
+NN+BARBA;dig11
+XFERCAELVR;dig11
SAXFER;dig8
+G;dig11
.ATDEFICLI.ASMARSIA;dig4
+AXOF;dig9
.PAT;dig4
.PAT;dig4
.PAT;dig4
.OMS;dig12
IVLDAVGN;dig11
+O;dig8
IIIVNIMEL+ETMELIS+;dig5
IIAVRHERACLAEPATETFILFC+;dig11
+PE+;dig5
MC;dig7
BELL;dig11
+EC;dig11
CMISC;dig8
FMFP;dig5
.VCVNDINI;dig4
VIRIIII;dig6
VIRIIII;dig6
VIRIIII;dig6
+RG;dig3
+IFM+;dig5
IIIMINICIOR;dig4
LFCCV+M;dig11
CFEVT+;dig7
+M;dig5
PCICL;dig9
LIVNIMELISSI;dig4
LIVNIMELISSI;dig4
LIVNIMELISSI;dig4
LIVNIMELISSI;dig4
LIVNIMELISSI;dig5
LIVNIMELISSI;dig5
LIVNIMELISSI;dig11
LIVNIMELISSI;dig11
LIVNIMELISSI;dig11
+ADIN+;dig4
AQ+;dig8
FSC;dig5
FSC;dig7
FSC;dig3
FSC;dig3
FPATERNI;dig11
PER;dig4
PCSSCVMARIA;dig11
+DFITALICAE;dig8
BE+;dig12
SNR.;dig1
ARVASALS;dig7
GRA+;dig10
L+;dig2
GRA;dig4
GRA;dig4
PNNFIGMED;dig4
PNNFIGMED;dig4
LIT;dig11
+CABAB+;dig6
CAECOR;dig9
+ONS+;dig4
CLM+;dig12
IIIENNIVL;dig8
IIIENNIVL;dig8
NRVFI.;dig10
FCECARA;dig11
IIQQETCF;dig5
+MVDC+;dig10
LFC;dig6
LFC;dig6
LFC;dig6
PERSEI;dig11
+FIG+;dig4
FCVCV;dig11
+T;dig4
DIA;dig8
DIA;dig12
DIA;dig11
+BAR+;dig11
QNDFAB;dig12
.SCIM.IANO;dig5
PCLICE+;dig8
ILFT;dig4
ILFT;dig4
ILFT;dig4
ILFT;dig4
ILFT;dig4
ILFT;dig4
ILFT;dig4
ILFT;dig4
ILFT;dig4
+AFM.;dig11
.MO.V+O;dig3
+CPAP;dig4
C+SI+;dig6
Q+;dig2
QVCCF;dig5
PCLODIICELI;dig10
PP+;dig5
+NNIV;dig9
OCV+;dig5
+VIRIII;dig9
PNN;dig11
MQ+;dig12
+OPPAE+;dig5
LQ+;dig10
+CCVCAT;dig5
NRVFIP;dig10
PNN;dig4
PNN;dig4
PNN;dig5
+MELISSI+ELISSE;dig5
+C+FLC+;dig6
PNN;dig11
+TALI.;dig4
+AVRHERACLA.PATETF+;dig11
+TR;dig11
PCAG+NIG+;dig8
SACXII.;dig11
EL+;dig9
+POP+;dig5
LVPXII+;dig11
LA.;dig12
SVBVLCI;dig5
MMCS+;dig8
+NTITOC.;dig11
PCLICELI;dig11
TM;dig11
GRAS+;dig5
+AO+;dig9
ISMILOF;dig7
ISMILOF;dig7
ISMILOF;dig7
ISMILOF;dig7
ISMILOF;dig3
ISMILOF;dig3
FINE;dig11
MACCVT;dig11
PNEN.;dig11
+IM;dig10
QMCALIADIS;dig11
QIV+;dig9
+V;dig5
+GGGNNN+GVLBARB.;dig11
.VGGG+FIGVLBARBA;dig11
.CMY;dig5
+S;dig11
MFQF;dig12
+MARSIANESSES;dig11
LCANTP;dig8
LCANTP;dig12
LCANTP;dig1
LCANTP;dig1
LCANTP;dig11
+TAI;dig10
LFCC+;dig5
DATSCOL;dig12
DATSCOL;dig12
DATSCOL;dig12
MAT+;dig4
+ORT+;dig11
VHL.;dig4
PAT;dig11
QIMII+;dig9
NN;dig10
QCI;dig8
CONSFC;dig4
MS+;dig11
+VFI;dig3
FPAT;dig4
FPAT;dig4
FPAT;dig4
FPAT;dig4
+QC+;dig11
AEL+N.;dig11
QIAF;dig9
.LFT;dig4
+ALIC+;dig2
+MAT+L;dig6
AND+;dig7
.IS.;dig11
LFDCOL;dig3
FPATERNI;dig11
FBA;dig11
+LAT+;dig11
DEFBA;dig5
CONS+;dig4
CONS+;dig11
DIONYS;dig5
BEL+;dig12
.IIENNII+;dig8
MLP+;dig12
+FVPAI+;dig11
LIDF+;dig10
NHY.;dig11
.ORODV;dig5
.ORODV;dig11
FIRM.;dig5
.AXOFERREO+;dig8
GENETIV;dig5
GENETIV;dig5
GENETIV;dig5
GENETIV;dig5
GENETIV;dig11
+TIS;dig5
+TIS;dig5
PPCA.;dig5
PPCA.;dig5
ANTI+;dig11
+OCV+EDO;dig5
ARAX+;dig11
MAXC;dig11
SIR;dig12
AVGG;dig11
PRIM;dig11
EVTYC;dig4
EVTYC;dig5
EVTYC;dig5
.AP;dig4
.AP;dig4
CHSES.;dig8
+FSF;dig5
LFCCVF+;dig4
LFCCVF+;dig5
LFCCVF+;dig5
LFCCVF+;dig11
LFCCVF+;dig11
POPVLI;dig4
POPVLI;dig4
POPVLI;dig4
POPVLI;dig4
POPVLI;dig4
POPVLI;dig4
POPVLI;dig4
POPVLI;dig4
POPVLI;dig4
POPVLI;dig5
TAM;dig8
TAM;dig12
TAM;dig1
TAM;dig1
TAM;dig1
TAM;dig1
C+ALB;dig6
+XOFERRI;dig6
LI+;dig2
CIV+;dig10
PN.;dig11
+PO;dig9
BELICI;dig12
LFCC+;dig5
EROTIC.;dig3
PMG+;dig10
VIBIO;dig12
VIBIO;dig12
+VNMELISS+MELISE;dig11
MCFR.;dig8
MA+;dig11
AVN.;dig11
IIIFFIILVP;dig4
IIIFFIILVP;dig4
GSACI;dig12
+E;dig4
+RVSTI.;dig5
ACIRGI;dig5
SVCCESS;dig11
SVCCESS;dig11
AVCGICV;dig11
DONATI;dig5
+RIS;dig11
+CVFM;dig10
ILF.;dig4
MF.A+;dig5
+CVFN;dig11
CISVII;dig11
N+;dig6
.VGGGNNN.IGV.BAR+;dig11
FCVC+;dig5
+VFS;dig5
+VFS;dig5
FIGME+;dig10
QF+;dig8
