stamp;dig
.FEPAPHRODI;old
+SPSE;old
AQFV.;old
MS.;old
.AXOFERREO;old
SAXOFERRE.;old
O.OR;old
PA.RVF;old
+MEEVRO;old
MEEVR+;old
MEEVR+;old
MEEVR+;old
MEEV+;old
.IIENNIVL;old
+III.NIORIVLSAE;old
IIIENNIORIVLSA.;old
QF.;old
QF.;old
.FCARES;old
.QFF;old
.FN;old
FELIC+;old
+CIALB;old
QI.F;old
QI.F;old
QIMF+;old
LI+;old
.MR;old
.MVE;old
+MSATVRNI;old
PNN+;old
.RISCI;old
.SSATVRN.N.;old
+YC;old
FC+;old
+ED+F;old
+C+;old
+CF;old
+PROIATI;old
+RMOC+;old
+MOC+;old
+NI;old
P.I;old
Q+;old
Q+;old
Q+;old
QI+;old
+PV;old
H+;old
+ALIC+;old
+I;old
L+;old
+FN;old
AVG.GNN.;old
.CODIICELI;old
CAM+;old
.ONSFC;old
+DEN;old
DIO.;old
AVG.GNN.;old
CE.ER;old
GEF.;old
PER.;old
AVG.GNN.;old
AVG.GNN.;old
.FCCOL;old
.FCCOL;old
.FCNOV;old
.I.;old
AVGGGNN.;old
L.CSENTI;old
L.CSENTI;old
MFEPAP.RODI;old
MFEPAP.RODI;old
MFEPAP.RODI;old
MFEPAP.RODI;old
MFEPAP.RODI;old
FLAA+;old
SA.;old
TIAEAFRICAN.;old
.EMEN;old
.EMEN;old
FFBO.;old
.VRSTR;old
IIAVRHERACLA+ATETFILFBAR;old
KVFIGBARCOLSICEA.I;old
AC+;old
ATENIA.CYTONIDIS;old
FIGASVLE.ANESES;old
F.GASVLEIANESES;old
.IGASVLEIANESES;old
IICAMILIME.ISSI;old
IICAMILI+M.LISSI;old
CAMILIS.LVESTRI;old
CAMIL.SILVESTR.;old
.XOFCBEL;old
.CAERARI;old
.AERARI;old
FCAERA.;old
FCAERA.;old
FCAERA.;old
LFCCVFCA.;old
GFSCVF.;old
FGFIVSF.;old
.GFIVSFM;old
.LMFF;old
IICCLM.;old
IICCLM.;old
IICCLM.;old
IICCLM.;old
II+;old
O.;old
.PTAT.;old
OPTAT.;old
OPTAT.;old
.PTAT.;old
FVND.PERSEIAN.;old
.VNDI.ERSEIANI;old
.VINTI;old
.RADO.;old
+EO;old
+ASI;old
+;old
LFFG.;old
BE+;old
.FFV;old
BE+;old
SF.;old
AVGGGNN.;old
BE+;old
.FG;old
BE+;old
MCFRIG.D.;old
.ALLIS;old
BE+;old
.ELER;old
F.ERARIA;old
CER+;old
PCLODIICELLI+;old
+RVM;old
BE+;old
BE+;old
BE+;old
BE+;old
BE+;old
BE+;old
BE+;old
AVGGGNN.;old
FIR+;old
DC.IAN;old
FLORBAB+;old
PAT+;old
.ERSEI;old
PRIMIA+NI;old
.RVNICI;old
QNDPRI.;old
PNNOPHIKI.;old
PNNOPHIKIN.;old
SNR+;old
PMM+;old
CLODV+;old
QIAFM.;old
.LFT;old
AVG.GNN.;old
AVG.GNN.;old
AVG.GNN.;old
AVGGGNN.;old
AVGGGNNNCOLEARIFGR.;old
C.ALV;old
C.ALV;old
.AS;old
MATDEFIGLINASMAR.I.;old
MATDEFI.LINASMARSI.;old
ARV.;old
ARVA.;old
.RVAPDVIC;old
.RVAPDVIC;old
ASVL.;old
AB.;old
QCC.;old
CALL.;old
CALL.;old
FIGCEP.;old
FIGCEP.;old
FCVCV.;old
.ELER.S;old
CAERARI.;old
+FOPOADEMO+;old
.FCCVFN;old
LFCCVF.;old
LFCVF.;old
LFCCVF.;old
LFCCVF.;old
LFC.COL;old
LF.NOV;old
LFSENT.;old
LF.SENT.;old
LFCSE.TI;old
...VCEXF.;old
...VCEXFP;old
L..VCEXFP;old
LFCVCEXF.;old
LFCV.EXF.;old
LFCV.EXF.;old
LFCVCEX.P;old
DFF.;old
DF.;old
FLTER.I;old
.IONY;old
TVAM.;old
.VTYCHIANI;old
.MFP;old
FELIX.XIII;old
FIGVGEMESILVIN.L;old
FIGVLGEMESILVI.IL;old
FIGVLGEMESI??.VI.IL;old
C.V.ROM;old
.IM;old
.IM;old
LI.;old
.IM;old
LI.;old
LIMFPAT.;old
LSILVESTR.;old
.SILVESTRI;old
.IT;old
.IT;old
LIVNIMELIS.IP;old
FSCIMN.ANO;old
IIIVNIMELISSIETMELISS.;old
.VLIF;old
M.D.;old
.VPI;old
PMOCVFI.EDO;old
.MOCVFIGEDO;old
.MOCV.IGEDO;old
FIGME.;old
.NN;old
PN.;old
.NN;old
.NN;old
PN.;old
.NN;old
.NN;old
.NN;old
.NN.;old
.NNF;old
CONSF.;old
CONSF.;old
.ORODV;old
.PAT;old
.PAT;old
GR.;old
G.A;old
.RA;old
.QA;old
QS.;old
.AXOFAIM;old
.SCIMNIANO;old
V.CTOR;old
LI.;old
EVE.;old
LF.;old
LIVN.MELISSI;old
PN.;old
MF.;old
CA+;old
CE+;old
FCE+;old
FIGE.PPAEF;old
IIFFBEOCV.;old
LFCA.;old
+FCNOV;old
+FCNOV;old
.FCSENTI.;old
LFCRESCCVF.;old
.FCCVFPAC;old
.FCCVFSC;old
SFGR+;old
L..VCEXFP;old
LFVC.VFP;old
FMFP.;old
.HMOC;old
.EL;old
GRAM+;old
.REKO.;old
.ESTVTI;old
.RVS;old
+ACXIII;old
CI+;old
SEC.ND;old
QESVS.;old
VENER.;old
VICTO.;old
QIAL.;old
QIE+;old
LIM.PAT.;old
LIM.PAT.;old
QI.F;old
.IMFS;old
LIOFVS+;old
MIRPFO+;old
QIRIM+;old
LFCCVFCA.;old
.FCCVFCA;old
LFCCV+;old
